"Slice" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"212" 5 0.233 0.719 0.991 0.823 0.303 0.757 0.309 0.043 0.371 0.461 0.001 0.665 0.867 0.275 0.439
"213" 5 0.243 0.199 0.515 0.009 0.955 0.653 0.041 0.643 0.235 0.611 0.505 0.987 0.527 0.291 0.679
"214" 5 0.279 0.669 0.151 0.571 0.575 0.255 0.091 0.949 0.557 0.227 0.149 0.701 0.995 0.669 0.825
"215" 5 0.285 0.861 0.443 0.549 0.751 0.833 0.217 0.429 0.947 0.529 0.905 0.519 0.119 0.651 0.007
"216" 5 0.311 0.063 0.367 0.671 0.287 0.603 0.665 0.355 0.973 0.935 0.065 0.737 0.919 0.497 0.485
"217" 5 0.333 0.953 0.965 0.411 0.333 0.335 0.709 0.995 0.043 0.303 0.719 0.231 0.639 0.319 0.553
"218" 5 0.349 0.313 0.029 0.463 0.651 0.547 0.577 0.921 0.845 0.965 0.303 0.075 0.353 0.351 0.951
"219" 5 0.379 0.033 0.433 0.299 0.787 0.047 0.457 0.587 0.279 0.261 0.893 0.807 0.857 0.813 0.227
"220" 5 0.385 0.561 0.729 0.871 0.871 0.179 0.197 0.387 0.457 0.449 0.027 0.755 0.445 0.943 0.081
"221" 5 0.403 0.405 0.223 0.585 0.481 0.933 0.735 0.687 0.199 0.815 0.805 0.979 0.023 0.181 0.791
"222" 5 0.431 0.237 0.577 0.733 0.393 0.393 0.415 0.089 0.039 0.495 0.997 0.269 0.045 0.923 0.447
"223" 5 0.457 0.729 0.525 0.527 0.081 0.803 0.881 0.777 0.715 0.093 0.081 0.861 0.149 0.331 0.329
"224" 5 0.477 0.757 0.613 0.907 0.255 0.273 0.275 0.723 0.807 0.991 0.851 0.029 0.617 0.749 0.719
"225" 5 0.481 0.177 0.845 0.351 0.357 0.897 0.149 0.811 0.927 0.207 0.419 0.855 0.743 0.831 0.265
"226" 5 0.503 0.963 0.899 0.603 0.591 0.155 0.687 0.231 0.881 0.327 0.673 0.115 0.089 0.209 0.683
"227" 5 0.537 0.885 0.395 0.131 0.805 0.205 0.651 0.141 0.143 0.899 0.769 0.605 0.561 0.071 0.745
"228" 5 0.555 0.581 0.215 0.089 0.445 0.959 0.169 0.215 0.469 0.137 0.747 0.379 0.225 0.735 0.987
"229" 5 0.567 0.693 0.013 0.693 0.927 0.873 0.541 0.919 0.283 0.161 0.383 0.257 0.079 0.401 0.517
"230" 5 0.597 0.461 0.171 0.893 0.423 0.067 0.351 0.253 0.605 0.031 0.113 0.213 0.215 0.639 0.855
"231" 5 0.609 0.145 0.741 0.791 0.197 0.023 0.061 0.461 0.513 0.835 0.469 0.907 0.399 0.509 0.873
"232" 5 0.631 0.525 0.549 0.815 0.909 0.853 0.833 0.033 0.821 0.369 0.233 0.825 0.425 0.591 0.975
"233" 5 0.645 0.651 0.905 0.049 0.833 0.675 0.287 0.061 0.649 0.567 0.601 0.293 0.979 0.785 0.475
"234" 5 0.675 0.917 0.299 0.775 0.023 0.237 0.037 0.481 0.133 0.399 0.727 0.785 0.723 0.553 0.153
"235" 5 0.683 0.269 0.793 0.443 0.851 0.993 0.993 0.971 0.627 0.591 0.339 0.419 0.773 0.231 0.317
"236" 5 0.707 0.795 0.771 0.637 0.225 0.511 0.421 0.293 0.861 0.149 0.929 0.925 0.677 0.875 0.905
"237" 5 0.733 0.503 0.939 0.329 0.207 0.465 0.135 0.865 0.697 0.765 0.839 0.567 0.317 0.043 0.167
"238" 5 0.747 0.447 0.703 0.993 0.769 0.451 0.935 0.669 0.499 0.109 0.683 0.169 0.653 0.997 0.647
"239" 5 0.773 0.609 0.111 0.075 0.057 0.499 0.379 0.571 0.173 0.359 0.163 0.635 0.695 0.031 0.811
"240" 5 0.795 0.625 0.077 0.153 0.631 0.117 0.013 0.335 0.319 0.867 0.525 0.309 0.265 0.705 0.059
"241" 5 0.813 0.287 0.339 0.371 0.411 0.343 0.749 0.003 0.909 0.069 0.635 0.559 0.471 0.095 0.103
"242" 5 0.821 0.059 0.583 0.937 0.123 0.765 0.817 0.407 0.015 0.695 0.647 0.479 0.793 0.381 0.723
"243" 5 0.857 0.123 0.943 0.421 0.373 0.187 0.465 0.615 0.075 0.557 0.049 0.121 0.409 0.431 0.249
"244" 5 0.865 0.095 0.475 0.105 0.707 0.695 0.519 0.821 0.253 0.949 0.951 0.155 0.543 0.773 0.621
"245" 5 0.891 0.119 0.407 0.653 0.279 0.911 0.221 0.537 0.743 0.247 0.445 0.005 0.835 0.153 0.295
"246" 5 0.903 0.771 0.313 0.509 0.539 0.965 0.605 0.503 0.201 0.911 0.363 0.955 0.813 0.857 0.347
"247" 5 0.925 0.927 0.687 0.171 0.985 0.523 0.799 0.627 0.393 0.409 0.353 0.395 0.179 0.903 0.121
"248" 5 0.943 0.335 0.867 0.317 0.601 0.711 0.399 0.841 0.593 0.641 0.209 0.649 0.017 0.883 0.935
"249" 5 0.973 0.809 0.349 0.947 0.671 0.563 0.243 0.459 0.983 0.757 0.193 0.595 0.299 0.123 0.385
"250" 5 0.985 0.829 0.245 0.209 0.169 0.409 0.957 0.747 0.773 0.725 0.877 0.687 0.375 0.569 0.595
"251" 6 0.003 0.571 0.625 0.005 0.131 0.245 0.455 0.045 0.355 0.719 0.535 0.647 0.301 0.315 0.865
"252" 6 0.033 0.965 0.561 0.897 0.183 0.515 0.517 0.257 0.731 0.845 0.483 0.435 0.779 0.961 0.283
"253" 6 0.053 0.107 0.211 0.425 0.465 0.345 0.575 0.183 0.363 0.083 0.223 0.983 0.417 0.761 0.165
"254" 6 0.069 0.195 0.751 0.515 0.375 0.567 0.629 0.899 0.239 0.065 0.283 0.369 0.973 0.945 0.427
"255" 6 0.093 0.615 0.253 0.475 0.847 0.447 0.289 0.819 0.661 0.105 0.153 0.073 0.601 0.127 0.133
"256" 6 0.119 0.391 0.287 0.313 0.943 0.059 0.249 0.763 0.479 0.609 0.019 0.521 0.059 0.861 0.575
"257" 6 0.135 0.909 0.489 0.599 0.535 0.991 0.409 0.729 0.703 0.755 0.037 0.389 0.759 0.255 0.897
"258" 6 0.157 0.379 0.707 0.409 0.567 0.673 0.175 0.099 0.815 0.347 0.327 0.901 0.889 0.905 0.927
"259" 6 0.163 0.705 0.975 0.179 0.719 0.035 0.641 0.679 0.769 0.651 0.703 0.481 0.987 0.641 0.853
"260" 6 0.189 0.839 0.383 0.551 0.069 0.601 0.475 0.651 0.249 0.229 0.927 0.185 0.201 0.687 0.971
"261" 6 0.215 0.043 0.449 0.137 0.969 0.649 0.819 0.391 0.501 0.951 0.657 0.867 0.571 0.473 0.279
"262" 6 0.225 0.997 0.823 0.819 0.775 0.069 0.537 0.401 0.063 0.547 0.269 0.083 0.485 0.637 0.479
"263" 6 0.241 0.255 0.137 0.205 0.613 0.681 0.055 0.965 0.497 0.629 0.907 0.129 0.877 0.543 0.501
"264" 6 0.261 0.307 0.805 0.985 0.485 0.425 0.185 0.781 0.603 0.895 0.989 0.895 0.373 0.727 0.349
"265" 6 0.283 0.665 0.909 0.711 0.047 0.625 0.225 0.593 0.281 0.203 0.343 0.747 0.249 0.097 0.051
"266" 6 0.309 0.457 0.423 0.155 0.143 0.229 0.857 0.321 0.585 0.535 0.053 0.021 0.389 0.413 0.005
"267" 6 0.323 0.121 0.043 0.655 0.315 0.107 0.921 0.447 0.787 0.831 0.807 0.273 0.443 0.759 0.675
"268" 6 0.353 0.467 0.953 0.627 0.791 0.855 0.747 0.203 0.097 0.059 0.557 0.401 0.843 0.207 0.733
"269" 6 0.369 0.341 0.309 0.447 0.447 0.937 0.031 0.015 0.853 0.297 0.695 0.681 0.467 0.061 0.187
"270" 6 0.393 0.727 0.869 0.529 0.987 0.293 0.373 0.111 0.647 0.903 0.587 0.615 0.155 0.155 0.037
"271" 6 0.401 0.205 0.595 0.847 0.933 0.363 0.795 0.989 0.261 0.323 0.865 0.557 0.189 0.607 0.919
"272" 6 0.437 0.803 0.097 0.575 0.383 0.395 0.019 0.901 0.985 0.145 0.785 0.761 0.521 0.783 0.481
"273" 6 0.453 0.029 0.551 0.485 0.821 0.863 0.707 0.473 0.901 0.373 0.125 0.205 0.129 0.197 0.839
"274" 6 0.465 0.741 0.117 0.695 0.915 0.967 0.481 0.137 0.523 0.269 0.891 0.317 0.627 0.929 0.391
"275" 6 0.487 0.899 0.327 0.031 0.893 0.407 0.585 0.825 0.047 0.443 0.367 0.799 0.949 0.399 0.589
"276" 6 0.517 0.939 0.617 0.057 0.431 0.529 0.875 0.233 0.939 0.029 0.381 0.623 0.647 0.179 0.653
"277" 6 0.535 0.235 0.523 0.381 0.019 0.915 0.967 0.495 0.389 0.779 0.255 0.961 0.351 0.815 0.779
"278" 6 0.549 0.873 0.019 0.917 0.511 0.493 0.603 0.037 0.409 0.571 0.623 0.847 0.283 0.029 0.755
"279" 6 0.565 0.955 0.685 0.275 0.165 0.819 0.739 0.569 0.449 0.979 0.779 0.323 0.597 0.045 0.225
"280" 6 0.593 0.521 0.037 0.345 0.105 0.769 0.985 0.309 0.177 0.139 0.829 0.709 0.821 0.335 0.333
"281" 6 0.601 0.175 0.999 0.777 0.419 0.545 0.147 0.079 0.625 0.165 0.447 0.235 0.173 0.897 0.407
"282" 6 0.635 0.077 0.273 0.971 0.285 0.721 0.773 0.691 0.549 0.017 0.615 0.119 0.275 0.457 0.079
"283" 6 0.651 0.279 0.931 0.097 0.217 0.185 0.311 0.621 0.113 0.697 0.679 0.457 0.901 0.703 0.087
"284" 6 0.661 0.851 0.773 0.259 0.341 0.327 0.269 0.853 0.975 0.785 0.067 0.823 0.099 0.345 0.639
"285" 6 0.695 0.085 0.343 0.933 0.653 0.271 0.437 0.539 0.205 0.439 0.205 0.931 0.935 0.491 0.943
"286" 6 0.711 0.799 0.153 0.829 0.639 0.469 0.893 0.359 0.877 0.395 0.085 0.731 0.223 0.845 0.251
"287" 6 0.735 0.425 0.169 0.321 0.549 0.589 0.355 0.931 0.029 0.581 0.947 0.503 0.007 0.227 0.201
"288" 6 0.745 0.285 0.649 0.749 0.691 0.303 0.071 0.267 0.883 0.937 0.109 0.177 0.799 0.429 0.527
"289" 6 0.777 0.583 0.225 0.783 0.231 0.009 0.203 0.367 0.153 0.241 0.313 0.241 0.701 0.007 0.445
"290" 6 0.799 0.019 0.519 0.601 0.033 0.951 0.099 0.547 0.569 0.473 0.725 0.359 0.691 0.577 0.989
"291" 6 0.809 0.641 0.881 0.675 0.099 0.099 0.915 0.863 0.193 0.487 0.415 0.669 0.039 0.671 0.369
"292" 6 0.837 0.515 0.667 0.363 0.731 0.787 0.385 0.285 0.001 0.877 0.169 0.471 0.077 0.271 0.819
"293" 6 0.853 0.147 0.183 0.281 0.675 0.143 0.545 0.613 0.837 0.311 0.745 0.951 0.333 0.101 0.697
"294" 6 0.877 0.635 0.069 0.721 0.743 0.741 0.947 0.759 0.131 0.739 0.501 0.047 0.733 0.527 0.615
"295" 6 0.893 0.543 0.785 0.225 0.811 0.219 0.673 0.719 0.753 0.807 0.847 0.001 0.107 0.517 0.547
"296" 6 0.915 0.333 0.361 0.063 0.597 0.165 0.693 0.147 0.327 0.183 0.461 0.299 0.431 0.999 0.715
"297" 6 0.937 0.495 0.851 0.955 0.869 0.891 0.125 0.947 0.429 0.503 0.435 0.575 0.513 0.293 0.309
"298" 6 0.959 0.685 0.731 0.879 0.277 0.135 0.829 0.431 0.691 0.669 0.973 0.591 0.819 0.361 0.795
"299" 6 0.971 0.777 0.467 0.117 0.325 0.837 0.105 0.179 0.315 0.407 0.189 0.147 0.667 0.593 0.159
"300" 6 0.983 0.409 0.403 0.199 0.259 0.703 0.335 0.513 0.955 0.983 0.579 0.801 0.545 0.825 0.107
"301" 7 0.009 0.801 0.291 0.507 0.439 0.981 0.005 0.509 0.447 0.631 0.517 0.135 0.615 0.947 0.557
"302" 7 0.023 0.629 0.033 0.683 0.371 0.419 0.675 0.009 0.969 0.463 0.197 0.725 0.563 0.287 0.721
"303" 7 0.049 0.185 0.369 0.679 0.409 0.799 0.205 0.695 0.431 0.871 0.571 0.859 0.629 0.021 0.215
"304" 7 0.079 0.973 0.933 0.581 0.633 0.355 0.391 0.721 0.981 0.211 0.231 0.617 0.727 0.349 0.231
"305" 7 0.095 0.035 0.651 0.167 0.381 0.153 0.647 0.633 0.887 0.851 0.533 0.161 0.899 0.395 0.363
"306" 7 0.109 0.371 0.387 0.211 0.497 0.389 0.937 0.953 0.209 0.411 0.155 0.211 0.233 0.887 0.299
"307" 7 0.127 0.415 0.571 0.129 0.807 0.083 0.329 0.021 0.567 0.315 0.665 0.221 0.269 0.677 0.073
"308" 7 0.153 0.209 0.917 0.609 0.339 0.973 0.515 0.085 0.935 0.397 0.843 0.159 0.557 0.405 0.395
"309" 7 0.173 0.099 0.767 0.737 0.205 0.119 0.561 0.605 0.739 0.459 0.319 0.891 0.153 0.789 0.039
"310" 7 0.185 0.349 0.529 0.939 0.129 0.917 0.815 0.573 0.521 0.299 0.111 0.355 0.809 0.753 0.925
"311" 7 0.213 0.479 0.465 0.707 0.945 0.367 0.969 0.829 0.865 0.701 0.681 0.787 0.791 0.089 0.887
"312" 7 0.221 0.915 0.219 0.271 0.103 0.281 0.171 0.457 0.127 0.693 0.861 0.391 0.139 0.137 0.323
"313" 7 0.259 0.649 0.723 0.877 0.569 0.437 0.075 0.167 0.395 0.647 0.201 0.033 0.357 0.057 0.155
"314" 7 0.275 0.533 0.887 0.483 0.983 0.501 0.637 0.993 0.541 0.889 0.955 0.423 0.387 0.519 0.049
"315" 7 0.287 0.155 0.791 0.803 0.443 0.215 0.049 0.903 0.467 0.173 0.793 0.337 0.913 0.367 0.753
"316" 7 0.317 0.009 0.865 0.383 0.763 0.927 0.469 0.523 0.035 0.189 0.895 0.769 0.291 0.585 0.415
"317" 7 0.335 0.323 0.849 0.555 0.853 0.073 0.729 0.201 0.373 0.101 0.087 0.831 0.535 0.555 0.863
"318" 7 0.357 0.881 0.665 0.323 0.537 0.709 0.133 0.649 0.959 0.735 0.965 0.497 0.049 0.233 0.837
"319" 7 0.361 0.789 0.483 0.065 0.469 0.561 0.093 0.583 0.581 0.153 0.005 0.873 0.259 0.707 0.915
"320" 7 0.399 0.739 0.989 0.149 0.251 0.955 0.359 0.297 0.515 0.345 0.391 0.459 0.019 0.847 0.097
"321" 7 0.409 0.753 0.543 0.915 0.677 0.865 0.905 0.751 0.797 0.081 0.739 0.803 0.095 0.617 0.571
"322" 7 0.425 0.317 0.817 0.349 0.261 0.337 0.753 0.969 0.485 0.771 0.331 0.311 0.163 0.013 0.955
"323" 7 0.443 0.487 0.139 0.639 0.519 0.037 0.847 0.255 0.151 0.555 0.981 0.537 0.865 0.301 0.019
"324" 7 0.461 0.929 0.331 0.243 0.967 0.839 0.861 0.369 0.631 0.941 0.433 0.543 0.975 0.523 0.257
"325" 7 0.485 0.591 0.103 0.641 0.189 0.247 0.407 0.499 0.655 0.799 0.825 0.929 0.947 0.979 0.515
"326" 7 0.513 0.265 0.229 0.007 0.861 0.457 0.717 0.157 0.827 0.365 0.925 0.563 0.645 0.621 0.969
"327" 7 0.533 0.179 0.585 0.093 0.547 0.525 0.531 0.123 0.091 0.939 0.063 0.287 0.741 0.833 0.713
"328" 7 0.551 0.453 0.501 0.531 0.173 0.019 0.599 0.933 0.185 0.425 0.029 0.633 0.849 0.183 0.109
"329" 7 0.563 0.065 0.141 0.291 0.059 0.651 0.361 0.223 0.251 0.225 0.475 0.009 0.461 0.205 0.785
"330" 7 0.585 0.959 0.635 0.857 0.823 0.881 0.485 0.545 0.005 0.339 0.403 0.943 0.669 0.169 0.493
"331" 7 0.607 0.879 0.251 0.767 0.931 0.225 0.319 0.381 0.175 0.121 0.911 0.251 0.403 0.573 0.857
"332" 7 0.633 0.245 0.179 0.963 0.307 0.199 0.025 0.813 0.071 0.525 0.443 0.277 0.199 0.775 0.313
"333" 7 0.641 0.563 0.003 0.193 0.599 0.631 0.193 0.341 0.303 0.001 0.751 0.999 0.499 0.465 0.163
"334" 7 0.663 0.713 0.425 0.951 0.221 0.597 0.899 0.109 0.321 0.997 0.659 0.061 0.501 0.655 0.469
"335" 7 0.689 0.987 0.833 0.467 0.781 0.167 0.825 0.323 0.917 0.833 0.543 0.597 0.323 0.937 0.629
"336" 7 0.705 0.687 0.317 0.407 0.039 0.269 0.771 0.059 0.111 0.741 0.287 0.917 0.111 0.455 0.645
"337" 7 0.727 0.297 0.193 0.109 0.755 0.743 0.273 0.271 0.803 0.901 0.051 0.697 0.203 0.259 0.277
"338" 7 0.749 0.509 0.705 0.373 0.899 0.549 0.145 0.769 0.231 0.251 0.349 0.375 0.931 0.995 0.185
"339" 7 0.771 0.131 0.977 0.757 0.645 0.491 0.619 0.789 0.297 0.967 0.637 0.743 0.709 0.909 0.817
"340" 7 0.781 0.399 0.053 0.899 0.709 0.121 0.685 0.465 0.857 0.511 0.123 0.113 0.831 0.683 0.355
"341" 7 0.801 0.769 0.275 0.229 0.683 0.773 0.949 0.409 0.611 0.053 0.497 0.051 0.309 0.269 0.123
"342" 7 0.835 0.421 0.959 0.831 0.075 0.463 0.797 0.313 0.351 0.027 0.713 0.469 0.453 0.073 0.537
"343" 7 0.859 0.041 0.413 0.799 0.917 0.605 0.987 0.701 0.267 0.579 0.371 0.411 0.063 0.321 0.443
"344" 7 0.875 0.551 0.067 0.303 0.619 0.669 0.247 0.879 0.053 0.811 0.607 0.677 0.377 0.485 0.995
"345" 7 0.895 0.109 0.609 0.041 0.003 0.305 0.283 0.673 0.693 0.265 0.817 0.705 0.421 0.805 0.437
"346" 7 0.907 0.843 0.693 0.027 0.729 0.049 0.433 0.439 0.413 0.607 0.243 0.097 0.683 0.109 0.591
"347" 7 0.929 0.221 0.441 0.997 0.153 0.699 0.237 0.191 0.759 0.589 0.591 0.659 0.027 0.739 0.677
"348" 7 0.947 0.827 0.357 0.565 0.345 0.733 0.113 0.075 0.717 0.489 0.771 0.515 0.985 0.151 0.689
"349" 7 0.975 0.667 0.759 0.445 0.089 0.857 0.551 0.889 0.679 0.667 0.175 0.969 0.775 0.423 0.601
"350" 7 0.981 0.611 0.085 0.427 0.293 0.813 0.447 0.857 0.777 0.071 0.279 0.187 0.581 0.869 0.767
"351" 8 0.019 0.463 0.071 0.035 0.727 0.957 0.461 0.551 0.779 0.533 0.459 0.691 0.609 0.817 0.139
"352" 8 0.029 0.661 0.689 0.891 0.159 0.713 0.661 0.259 0.293 0.015 0.765 0.621 0.533 0.873 0.189
"353" 8 0.047 0.725 0.717 0.669 0.433 0.505 0.285 0.001 0.849 0.769 0.509 0.265 0.245 0.667 0.973
"354" 8 0.063 0.053 0.269 0.535 0.395 0.249 0.423 0.485 0.051 0.839 0.649 0.403 0.503 0.855 0.025
"355" 8 0.081 0.715 0.627 0.957 0.367 0.449 0.731 0.507 0.799 0.675 0.351 0.553 0.011 0.121 0.083
"356" 8 0.113 0.247 0.929 0.325 0.867 0.663 0.121 0.709 0.391 0.429 0.609 0.201 0.209 0.143 0.143
"357" 8 0.129 0.353 0.657 0.795 0.905 0.977 0.569 0.399 0.809 0.097 0.089 0.345 0.853 0.419 0.459
"358" 8 0.159 0.079 0.783 0.365 0.265 0.527 0.441 0.107 0.067 0.283 0.819 0.739 0.735 0.069 0.619
"359" 8 0.175 0.529 0.157 0.307 0.625 0.317 0.909 0.907 0.989 0.179 0.781 0.381 0.105 0.389 0.593
"360" 8 0.197 0.229 0.101 0.739 0.171 0.647 0.365 0.299 0.961 0.317 0.921 0.377 0.929 0.339 0.735
"361" 8 0.201 0.381 0.541 0.499 0.607 0.183 0.181 0.189 0.083 0.605 0.041 0.811 0.065 0.247 0.685
"362" 8 0.237 0.863 0.135 0.293 0.703 0.221 0.785 0.749 0.241 0.441 0.143 0.941 0.369 0.447 0.001
"363" 8 0.245 0.585 0.255 0.127 0.741 0.725 0.995 0.027 0.169 0.649 0.901 0.191 0.493 0.567 0.559
"364" 8 0.267 0.271 0.673 0.217 0.317 0.109 0.107 0.925 0.735 0.391 0.387 0.981 0.777 0.211 0.319
"365" 8 0.291 0.805 0.985 0.423 0.551 0.999 0.045 0.567 0.301 0.621 0.831 0.857 0.547 0.725 0.669
"366" 8 0.315 0.633 0.205 0.247 0.299 0.401 0.227 0.667 0.011 0.021 0.429 0.007 0.663 0.765 0.497
"367" 8 0.339 0.761 0.605 0.573 0.773 0.029 0.979 0.453 0.943 0.277 0.731 0.877 0.875 0.781 0.339
"368" 8 0.359 0.403 0.963 0.547 0.403 0.287 0.063 0.373 0.875 0.549 0.967 0.319 0.983 0.891 0.345
"369" 8 0.371 0.017 0.199 0.607 0.801 0.209 0.581 0.591 0.357 0.929 0.953 0.569 0.415 0.119 0.903
"370" 8 0.387 0.971 0.321 0.709 0.029 0.145 0.865 0.149 0.551 0.235 0.669 0.153 0.575 0.093 0.563
"371" 8 0.419 0.613 0.735 0.771 0.329 0.377 0.939 0.041 0.403 0.743 0.011 0.837 0.583 0.993 0.533
"372" 8 0.429 0.935 0.311 0.909 0.845 0.475 0.699 0.653 0.229 0.879 0.257 0.325 0.029 0.425 0.947
"373" 8 0.441 0.793 0.533 0.191 0.647 0.173 0.165 0.071 0.561 0.985 0.207 0.671 0.895 0.581 0.117
"374" 8 0.479 0.023 0.591 0.817 0.527 0.125 0.807 0.135 0.511 0.419 0.291 0.433 0.967 0.283 0.047
"375" 8 0.491 0.951 0.167 0.623 0.473 0.851 0.889 0.739 0.461 0.119 0.493 0.657 0.811 0.489 0.991
"376" 8 0.511 0.089 0.007 0.995 0.891 0.607 0.327 0.227 0.683 0.217 0.529 0.535 0.131 0.343 0.393
"377" 8 0.521 0.759 0.345 0.453 0.041 0.807 0.033 0.771 0.719 0.475 0.129 0.173 0.451 0.047 0.505
"378" 8 0.553 0.907 0.893 0.223 0.067 0.485 0.511 0.963 0.367 0.977 0.639 0.291 0.181 0.659 0.625
"379" 8 0.569 0.695 0.761 0.875 0.825 0.559 0.259 0.987 0.657 0.249 0.993 0.069 0.429 0.467 0.821
"380" 8 0.581 0.365 0.281 0.647 0.011 0.573 0.261 0.885 0.139 0.791 0.173 0.775 0.785 0.941 0.711
"381" 8 0.619 0.181 0.839 0.471 0.181 0.749 0.313 0.357 0.829 0.915 0.031 0.501 0.051 0.635 0.261
"382" 8 0.621 0.163 0.841 0.597 0.203 0.905 0.779 0.955 0.145 0.585 0.569 0.963 0.345 0.279 0.241
"383" 8 0.643 0.991 0.491 0.341 0.999 0.885 0.381 0.083 0.269 0.127 0.225 0.487 0.289 0.507 0.429
"384" 8 0.671 0.489 0.945 0.821 0.679 0.013 0.653 0.837 0.333 0.485 0.075 0.223 0.833 0.537 0.807
"385" 8 0.699 0.893 0.473 0.755 0.783 0.085 0.083 0.533 0.613 0.329 0.417 0.915 0.237 0.913 0.797
"386" 8 0.701 0.135 0.813 0.111 0.495 0.639 0.759 0.805 0.491 0.051 0.841 0.249 0.655 0.757 0.069
"387" 8 0.729 0.293 0.913 0.517 0.959 0.823 0.495 0.681 0.435 0.687 0.321 0.921 0.625 0.019 0.939
"388" 8 0.753 0.211 0.457 0.961 0.245 0.789 0.635 0.437 0.207 0.363 0.361 0.031 0.165 0.827 0.847
"389" 8 0.767 0.519 0.513 0.013 0.097 0.045 0.831 0.847 0.621 0.341 0.101 0.713 0.313 0.715 0.757
"390" 8 0.789 0.149 0.439 0.053 0.125 0.777 0.715 0.303 0.897 0.509 0.477 0.887 0.711 0.167 0.771
"391" 8 0.815 0.321 0.757 0.845 0.963 0.697 0.615 0.609 0.921 0.573 0.687 0.781 0.325 0.965 0.161
"392" 8 0.831 0.113 0.057 0.391 0.107 0.357 0.843 0.873 0.537 0.841 0.555 0.041 0.751 0.545 0.401
"393" 8 0.851 0.855 0.415 0.935 0.699 0.339 0.213 0.177 0.191 0.801 0.711 0.101 0.903 0.379 0.463
"394" 8 0.867 0.451 0.381 0.083 0.939 0.593 0.151 0.629 0.751 0.723 0.181 0.125 0.689 0.619 0.877
"395" 8 0.887 0.429 0.035 0.151 0.343 0.385 0.015 0.329 0.915 0.075 0.315 0.587 0.385 0.691 0.239
"396" 8 0.919 0.837 0.569 0.699 0.459 0.267 0.555 0.475 0.105 0.199 0.899 0.751 0.087 0.199 0.207
"397" 8 0.935 0.645 0.373 0.069 0.513 0.879 0.345 0.797 0.037 0.705 0.599 0.467 0.953 0.221 0.281
"398" 8 0.945 0.303 0.861 0.173 0.239 0.075 0.401 0.263 0.597 0.159 0.743 0.081 0.271 0.303 0.659
"399" 8 0.969 0.541 0.233 0.413 0.581 0.929 0.533 0.205 0.663 0.953 0.871 0.619 0.475 0.939 0.885
"400" 8 0.995 0.575 0.099 0.267 0.563 0.431 0.951 0.403 0.445 0.887 0.261 0.441 0.151 0.023 0.373
"401" 9 0.017 0.315 0.115 0.967 0.471 0.761 0.445 0.905 0.745 0.239 0.151 0.715 0.531 0.483 0.179
"402" 9 0.035 0.745 0.393 0.477 0.961 0.613 0.821 0.541 0.059 0.271 0.741 0.199 0.623 0.149 0.137
"403" 9 0.055 0.619 0.663 0.759 0.369 0.169 0.299 0.207 0.707 0.013 0.295 0.071 0.937 0.459 0.605
"404" 9 0.065 0.007 0.889 0.843 0.399 0.295 0.521 0.589 0.021 0.711 0.135 0.733 0.589 0.721 0.543
"405" 9 0.087 0.925 0.261 0.903 0.951 0.197 0.479 0.455 0.911 0.545 0.735 0.339 0.337 0.793 0.681
"406" 9 0.101 0.865 0.431 0.047 0.635 0.445 0.591 0.937 0.305 0.673 0.473 0.095 0.551 0.697 0.999
"407" 9 0.125 0.537 0.725 0.353 0.457 0.421 0.879 0.305 0.375 0.881 0.977 0.679 0.917 0.917 0.245
"408" 9 0.149 0.261 0.133 0.505 0.579 0.039 0.069 0.511 0.591 0.947 0.563 0.233 0.075 0.265 0.449
"409" 9 0.169 0.967 0.447 0.231 0.659 0.893 0.725 0.741 0.637 0.813 0.191 0.953 0.205 0.365 0.487
"410" 9 0.193 0.431 0.209 0.665 0.349 0.349 0.141 0.159 0.299 0.169 0.663 0.875 0.005 0.889 0.717
"411" 9 0.211 0.895 0.335 0.077 0.309 0.791 0.199 0.051 0.107 0.259 0.431 0.625 0.855 0.533 0.637
"412" 9 0.235 0.647 0.499 0.429 0.043 0.667 0.683 0.689 0.835 0.157 0.897 0.767 0.447 0.005 0.773
"413" 9 0.247 0.621 0.237 0.101 0.611 0.963 0.659 0.375 0.999 0.287 0.773 0.013 0.861 0.589 0.577
"414" 9 0.269 0.051 0.749 0.451 0.517 0.569 0.369 0.973 0.933 0.103 0.455 0.405 0.281 0.777 0.963
"415" 9 0.293 0.369 0.993 0.987 0.295 0.821 0.851 0.521 0.855 0.921 0.643 0.545 0.247 0.747 0.649
"416" 9 0.313 0.853 0.777 0.717 0.557 0.909 0.487 0.833 0.221 0.403 0.813 0.281 0.091 0.957 0.209
"417" 9 0.327 0.347 0.285 0.813 0.877 0.655 0.931 0.245 0.421 0.737 0.069 0.133 0.671 0.853 0.751
"418" 9 0.351 0.137 0.863 0.021 0.815 0.399 0.395 0.715 0.685 0.789 0.119 0.473 0.419 0.935 0.105
"419" 9 0.375 0.241 0.047 0.269 0.005 0.369 0.357 0.635 0.065 0.593 0.705 0.965 0.705 0.347 0.191
"420" 9 0.389 0.481 0.937 0.145 0.249 0.521 0.219 0.017 0.659 0.505 0.301 0.997 0.569 0.237 0.077
"421" 9 0.415 0.819 0.797 0.401 0.163 0.481 0.051 0.349 0.885 0.849 0.553 0.049 0.319 0.647 0.095
"422" 9 0.433 0.073 0.509 0.197 0.907 0.503 0.007 0.269 0.401 0.055 0.165 0.383 0.643 0.177 0.661
